,State,District,District Code,Assembly Constituency,AC Code,Gram Panchayat,GP Code,Total Population,Male,Female,Total Household,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Small Scale Industries (0-1),Adult & Non-Formal Education (0-1)
0,RAJASTHAN (8),AJMER (86),86,Ajmer North(504),100.0,AJAYSAR (33826),33826,4080.0,2150.0,1930.0,790.0,2.5,3.5,2.0,0.0,4.0,1.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,3.0,0.5,0.5,2.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0
1,RAJASTHAN (8),AJMER (86),86,Ajmer North(504),100.0,HATHI KHERA (33841),33841,4745.0,2415.0,2330.0,1439.0,0.0,1.5,0.0,0.0,4.0,2.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,3.5,2.0,3.5,0.5,0.5,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
2,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,ATEETMAND (33653),33653,370.0,177.0,193.0,75.0,1.5,2.5,0.5,0.0,4.0,0.0,3.5,2.0,0.0,0.0,1.0,0.0,0.0,3.5,0.5,1.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,BALAR (33654),33654,690.0,369.0,321.0,110.0,0.5,3.5,0.5,0.0,4.0,2.0,6.5,3.0,0.0,0.0,1.0,0.0,0.0,4.5,0.5,1.5,0.5,0.5,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,BAMANHERA (33655),33655,4179.0,2084.0,2095.0,931.0,0.25,1.5,0.5,0.5,4.0,0.0,6.0,3.0,0.0,0.5,1.0,0.0,0.5,2.5,1.5,3.0,0.0,0.25,4.75,3.0,0.0,0.5,1.0,0.0,0.0,0.0
5,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,DEWATA (33662),33662,1800.0,1000.0,800.0,1400.0,0.75,1.0,0.25,0.0,4.0,0.5,6.0,1.0,0.0,0.0,0.0,0.0,0.5,5.0,1.25,2.0,0.0,0.0,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,KABRA (33667),33667,3770.0,1905.0,1865.0,870.0,1.25,0.75,0.25,0.0,4.0,1.0,2.0,2.0,0.0,0.5,1.0,0.0,0.5,4.0,1.25,2.0,0.0,0.0,6.75,2.75,0.0,0.5,3.5,0.0,0.0,0.0
7,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,KISHANPURA (33668),33668,2123.0,1142.0,981.0,409.0,1.0,2.333333333333333,1.5,0.0,4.0,2.0,6.166666666666668,2.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,3.8333333333333335,1.0,2.333333333333333,0.5,1.3333333333333333,4.666666666666667,2.5,0.0,0.0,1.6666666666666667,0.0,0.0,0.0
8,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,MALPURA (33672),33672,785.0,396.0,389.0,158.0,0.5,2.0,0.5,0.0,4.0,2.0,6.5,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.5,1.5,0.5,0.5,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,"NOONDRI MAHINDRATAN 
(33676)",33676,8300.0,4696.0,3604.0,1543.0,1.0,4.5,3.0,0.0,4.0,3.0,5.0,3.0,0.0,1.0,1.0,0.0,1.0,7.0,2.0,4.0,1.0,3.0,5.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0
