,State,District,District Code,Assembly Constituency,AC Code,Total Population,Male,Female,Total Household,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Small Scale Industries (0-1),Adult & Non-Formal Education (0-1)
0,RAJASTHAN (8),AJMER (86),86,Ajmer North(504),100.0,8825.0,4565.0,4260.0,2229.0,1.25,2.5,1.0,0.0,4.0,1.5,5.25,2.5,0.0,0.5,0.0,0.0,0.0,3.0,2.0,3.25,0.5,0.5,2.75,3.0,1.0,0.5,0.5,0.0,0.0,0.0
1,RAJASTHAN (8),AJMER (86),86,Beawar(672),103.0,27042.0,14426.0,12616.0,6809.0,0.775,1.825,0.675,0.05,4.0,0.95,5.3,2.3,0.05,0.25,0.65,0.0,0.2,4.075,1.05,2.025,0.25,0.55,3.75,2.375,0.05,0.15,0.875,0.0,0.0,0.0
2,RAJASTHAN (8),AJMER (86),86,Kekri(507),105.0,28923.0,14673.0,14250.0,11059.0,2.1666666666666665,2.7222222222222223,2.2222222222222223,0.0,3.7777777777777777,2.1111111111111107,5.333333333333333,2.6666666666666665,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.5555555555555556,4.833333333333333,0.7222222222222222,2.6111111111111107,0.3333333333333333,1.8333333333333333,2.7777777777777777,2.333333333333333,0.1111111111111111,0.6666666666666666,1.0555555555555556,0.0,0.3333333333333333,0.1111111111111111
3,RAJASTHAN (8),AJMER (86),86,Kishangarh(508),98.0,8990.0,4750.0,4233.0,1724.0,0.8888888888888888,2.2777777777777777,1.7222222222222223,0.0,3.888888888888889,1.5555555555555556,4.722222222222221,2.555555555555556,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.0,0.2222222222222222,3.333333333333333,0.6111111111111112,2.055555555555556,0.2777777777777778,0.6666666666666666,3.388888888888889,2.5,0.0,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0
4,RAJASTHAN (8),AJMER (86),86,Masuda(509),104.0,42768.0,21995.0,20773.0,8421.0,0.8289473684210527,2.0394736842105257,1.618421052631579,0.0,3.842105263157895,0.6578947368421053,5.039473684210527,2.473684210526316,0.02631578947368421,0.15789473684210525,0.7631578947368421,0.02631578947368421,0.3684210526315789,3.421052631578948,1.118421052631579,2.026315789473684,0.2631578947368421,0.34210526315789475,3.013157894736842,2.473684210526316,0.13157894736842105,0.3684210526315789,0.3684210526315789,0.05263157894736842,0.13157894736842105,0.05263157894736842
5,RAJASTHAN (8),AJMER (86),86,Nasirabad(510),102.0,38513.0,19618.0,18895.0,7903.0,0.9333333333333332,1.9333333333333331,2.7333333333333334,0.26666666666666666,4.0,1.3333333333333333,5.4,2.466666666666667,0.06666666666666668,0.4666666666666667,1.0,0.0,0.26666666666666666,3.6,1.0666666666666669,2.4,0.16666666666666666,0.6666666666666666,3.9,1.7333333333333334,0.06666666666666668,0.2,0.3333333333333333,0.0,0.06666666666666668,0.0
6,RAJASTHAN (8),AJMER (86),86,Pushkar(511),99.0,37521.0,20744.0,16777.0,7150.0,1.25,2.55,2.9,0.0,4.0,1.5,5.6,2.7,0.0,0.7,0.6,0.1,0.5,4.95,1.75,3.8,0.4,1.15,4.55,3.05,0.4,0.6,0.1,0.0,0.0,0.0
7,RAJASTHAN (8),ALWAR (87),87,Alwar Rural(512),65.0,65297.0,35516.0,29767.0,10740.0,1.2258064516129032,3.806451612903226,1.435483870967742,0.03225806451612903,3.967741935483871,1.3225806451612905,5.145161290322581,2.467741935483871,0.1935483870967742,0.3548387096774194,0.5161290322580645,0.3548387096774194,0.2903225806451613,5.548387096774193,1.2741935483870968,2.5967741935483866,0.4838709677419355,1.0483870967741935,3.2096774193548385,3.3548387096774195,0.03225806451612903,0.3870967741935484,0.2419354838709677,0.16129032258064516,0.06451612903225806,0.16129032258064516
8,RAJASTHAN (8),ALWAR (87),87,Alwar urban(513),66.0,4781.0,2470.0,2296.0,863.0,1.3333333333333333,3.8333333333333335,0.3333333333333333,0.0,4.0,0.6666666666666666,4.833333333333333,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.6666666666666665,1.0,2.333333333333333,0.5,0.6666666666666666,3.8333333333333335,2.333333333333333,0.0,0.6666666666666666,1.1666666666666667,0.0,0.0,0.0
9,RAJASTHAN (8),ALWAR (87),87,Bansur(601),63.0,73149.0,38447.0,34697.0,13290.0,1.7833333333333334,3.816666666666667,2.3,0.2,3.8333333333333335,1.6,5.366666666666666,2.4,0.16666666666666666,0.5333333333333333,0.5666666666666667,0.2,0.6666666666666666,4.9,1.75,3.3,0.5333333333333333,1.0666666666666669,4.333333333333333,3.8,0.26666666666666666,0.36666666666666653,0.3333333333333333,0.3,0.2333333333333333,0.16666666666666666
10,RAJASTHAN (8),ALWAR (87),87,Behror(514),62.0,34388.0,18126.0,14460.0,6448.0,1.2777777777777777,4.194444444444445,1.9722222222222223,0.0,4.0,2.2222222222222223,5.277777777777779,2.5,0.1111111111111111,0.3888888888888889,0.2222222222222222,0.05555555555555555,0.5555555555555556,5.472222222222222,1.4166666666666667,3.138888888888889,0.5833333333333334,0.6111111111111112,4.4444444444444455,3.2777777777777777,0.05555555555555555,0.6666666666666666,0.5277777777777778,0.05555555555555555,0.16666666666666666,0.16666666666666666
11,RAJASTHAN (8),ALWAR (87),87,Kathumar(540),69.0,35367.0,19060.0,16207.0,6528.0,1.1,2.825,1.45,0.05,3.95,1.1,5.0,2.05,0.0,0.35,0.2,0.15,0.2,4.375,1.45,2.55,0.375,0.375,3.85,3.025,0.1,0.4,0.225,0.05,0.1,0.05
12,RAJASTHAN (8),ALWAR (87),87,Kishangarh bas(515),60.0,34289.0,17845.0,16429.0,6284.0,0.9166666666666666,3.270833333333333,1.1666666666666667,0.0,3.9583333333333335,1.25,5.166666666666667,2.5,0.08333333333333333,0.20833333333333331,0.375,0.08333333333333333,0.4583333333333333,3.6458333333333335,0.875,2.395833333333333,0.4375,0.5416666666666666,3.583333333333333,3.1666666666666665,0.08333333333333333,0.2916666666666667,0.3541666666666667,0.0,0.0,0.0
13,RAJASTHAN (8),ALWAR (87),87,Mundawar(516),61.0,29871.0,16348.0,13502.0,6224.0,1.475,3.3,1.3,0.0,4.0,1.15,5.175,2.4,0.05,0.2,0.4,0.05,0.3,3.85,0.95,2.55,0.35,0.5,3.925,3.225,0.0,0.4,0.4,0.0,0.0,0.2
14,RAJASTHAN (8),ALWAR (87),87,Rajgarh laxmangarh(517),68.0,61060.0,32633.0,28337.0,10234.0,0.7222222222222222,2.8703703703703702,1.1666666666666667,0.037037037037037035,4.0,0.4074074074074074,4.37037037037037,2.4814814814814814,0.037037037037037035,0.25925925925925924,0.2222222222222222,0.1111111111111111,0.2962962962962963,3.5740740740740735,0.9629629629629628,2.6111111111111107,0.462962962962963,0.7407407407407407,3.4259259259259265,4.0740740740740735,0.07407407407407407,0.14814814814814814,0.7962962962962963,0.0,0.07407407407407407,0.2962962962962963
15,RAJASTHAN (8),ALWAR (87),87,Ramgarh(518),67.0,19385.0,10245.0,9140.0,3519.0,0.7692307692307693,2.8846153846153846,0.8076923076923077,0.07692307692307693,4.0,0.3076923076923077,5.230769230769232,2.5384615384615383,0.0,0.15384615384615385,0.2307692307692308,0.07692307692307693,0.07692307692307693,3.5384615384615383,1.3846153846153846,2.3076923076923075,0.3461538461538461,0.6923076923076923,3.0384615384615383,3.7307692307692313,0.0,0.38461538461538464,0.5769230769230769,0.0,0.07692307692307693,0.07692307692307693
16,RAJASTHAN (8),ALWAR (87),87,Thanagazi(583),64.0,14345.0,7533.0,6772.0,2356.0,0.8846153846153846,2.730769230769231,0.7692307692307693,0.07692307692307693,3.8461538461538463,0.6153846153846154,4.4230769230769225,2.4230769230769234,0.07692307692307693,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.2307692307692308,3.692307692307693,1.3461538461538465,2.1923076923076925,0.3461538461538461,0.6153846153846154,2.5769230769230766,3.1153846153846154,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693
17,RAJASTHAN (8),ALWAR (87),87,Tijara(519),59.0,49849.0,25814.0,22975.0,9785.0,1.1896551724137931,3.775862068965517,1.2241379310344829,0.10344827586206896,4.0,1.3103448275862069,4.913793103448277,2.103448275862069,0.10344827586206896,0.4482758620689655,0.1724137931034483,0.13793103448275862,0.4137931034482759,3.9137931034482767,1.1724137931034482,2.5689655172413794,0.4482758620689655,0.6896551724137931,4.206896551724138,3.310344827586207,0.03448275862068965,0.3448275862068966,0.4482758620689655,0.06896551724137931,0.03448275862068965,0.03448275862068965
18,RAJASTHAN (8),BANSWARA (88),88,Bagidora(520),165.0,59356.0,30764.0,28492.0,14158.0,1.4864864864864864,3.081081081081081,2.1486486486486487,0.0,2.5945945945945947,0.2432432432432433,4.297297297297297,1.6216216216216215,0.2972972972972973,0.5945945945945946,0.3783783783783784,0.054054054054054064,0.21621621621621626,2.783783783783784,0.7297297297297297,2.3648648648648654,0.2972972972972973,0.35135135135135137,3.4324324324324325,3.5,0.1891891891891892,0.2972972972972973,1.4054054054054057,0.027027027027027032,0.027027027027027032,0.054054054054054064
19,RAJASTHAN (8),BANSWARA (88),88,Banswara(521),164.0,56272.0,28075.0,27096.0,11585.0,2.413793103448276,3.997126436781609,2.3419540229885056,0.6954022988505747,3.0574712643678166,1.0919540229885056,5.790229885057472,2.126436781609195,0.1724137931034483,0.5114942528735632,0.3390804597701149,0.1896551724137931,0.6091954022988506,4.850574712643677,1.1810344827586206,3.247126436781609,0.6666666666666666,1.735632183908046,4.060344827586206,3.2241379310344827,0.3390804597701149,0.5747126436781609,1.3793103448275863,0.4137931034482759,0.13793103448275862,0.13793103448275862
20,RAJASTHAN (8),BANSWARA (88),88,Garhi(524),163.0,32767.0,17133.0,15508.0,7283.0,1.4166666666666667,4.4444444444444455,2.5277777777777777,0.1111111111111111,3.1666666666666665,0.6666666666666666,5.388888888888888,1.3888888888888888,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.16666666666666666,3.25,1.1666666666666667,2.805555555555556,0.19444444444444445,1.1388888888888888,3.5277777777777777,2.9444444444444446,0.1111111111111111,0.05555555555555555,1.5833333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555
21,RAJASTHAN (8),BANSWARA (88),88,Ghatol(525),162.0,82512.0,40434.0,39068.0,13305.0,1.9429824561403506,3.854385964912281,3.2780701754385966,0.0,3.721052631578948,1.186842105263158,5.25,1.437719298245614,0.17894736842105266,0.4842105263157894,0.4614035087719298,0.1087719298245614,0.5114035087719299,3.6526315789473687,0.7864035087719299,1.8399122807017545,0.4469298245614035,1.3460526315789474,3.230701754385965,2.867543859649123,0.2087719298245614,0.524561403508772,1.46359649122807,0.0,0.0,0.0
22,RAJASTHAN (8),BANSWARA (88),88,Kushalgarh(526),166.0,42738.0,21557.0,21089.0,9373.0,1.53125,1.953125,2.59375,0.03125,2.8125,0.15625,5.125,1.8125,0.5,0.46875,0.15625,0.03125,0.625,3.203125,0.671875,2.515625,0.328125,1.390625,3.109375,3.484375,0.09375,0.6875,1.8125,0.03125,0.0,0.09375
23,RAJASTHAN (8),BARAN (89),89,Anta(616),193.0,22190.0,11426.0,10641.0,3967.0,1.0,3.6818181818181817,1.3636363636363635,0.0,2.727272727272727,1.3636363636363635,5.045454545454546,2.090909090909091,0.0,0.18181818181818185,0.3636363636363637,0.0,0.6363636363636364,4.136363636363637,0.9545454545454546,2.090909090909091,0.2272727272727273,0.9090909090909092,3.9090909090909087,4.0,0.0,0.3636363636363637,1.2727272727272727,0.0,0.09090909090909093,0.0
